permit_number,lease_name,operator_name,operator_number,county_code,county_name,district,issue_date,received_date,amended_date,extended_date,spud_date,well_number,well_status,total_depth,application_type,app_type_desc,horizontal_flag,directional_flag,sidetrack_flag,surface_section,surface_block,surface_survey,surface_abstract,gis_surface_lat,gis_surface_lon,gis_bottomhole_lat,gis_bottomhole_lon,field_count,field_numbers,lease_count,survey_count,restriction_count,remark_count,address
0910606,YARBROUGH B ET AL GU 6 (AW),"BKV BARNETT, LLC",072504,121,Denton,13,11/05/2025,09/22/2025,,,,6H,,19806,01,Drill,Y,N,N,,,"BURN, J A",132,33.1824652,-97.2303704,33.2074373,-97.259156,1,65280200,0,1,1,16,
0910607,YARBROUGH B ET AL GU 7 (AW),"BKV BARNETT, LLC",072504,121,Denton,13,11/05/2025,09/22/2025,,,,7H,,22972,01,Drill,Y,N,N,,,"BURN, J A",132,33.1824645,-97.2303049,33.2082169,-97.2558719,1,65280200,0,1,1,16,
0910609,YARBROUGH B ET AL GU 8 (AW),"BKV BARNETT, LLC",072504,121,Denton,13,11/03/2025,09/22/2025,,,,U  8H,,16900,01,Drill,Y,N,N,,,"BURN, J A",132,33.182461,-97.2302362,33.2006477,-97.2428284,1,65280200,0,1,1,16,
0911541,HANSEN A,"DEVON ENERGY PRODUCTION CO, L.P.",216378,123,DeWitt,02,11/05/2025,11/03/2025,,,,10H,,14000,01,Drill,Y,N,N,,,J. HARWOOD,213,29.2364149,-97.3842361,29.222575,-97.378351,1,27135750,0,1,2,16,
0911542,HANSEN A,"DEVON ENERGY PRODUCTION CO, L.P.",216378,123,DeWitt,02,11/05/2025,11/03/2025,,,,11H,,14000,01,Drill,Y,N,N,,,"HARWOOD, J",213,29.2364058,-97.3841586,29.222445,-97.377323,1,27135750,0,1,2,16,
0911543,HANSEN A,"DEVON ENERGY PRODUCTION CO, L.P.",216378,123,DeWitt,02,11/05/2025,11/03/2025,,,,12H,,14000,01,Drill,Y,N,N,,,J. HARWOOD,213,29.2363869,-97.384003,29.222397,-97.375644,1,27135750,0,1,2,16,
0911547,HANSEN A,"DEVON ENERGY PRODUCTION CO, L.P.",216378,123,DeWitt,02,11/05/2025,11/03/2025,,,,13H,,14000,01,Drill,Y,N,N,,,"HARWOOD, J",213,29.2363682,-97.3838479,29.222264,-97.373855,1,27135750,0,1,2,16,
0911548,HANSEN A,"DEVON ENERGY PRODUCTION CO, L.P.",216378,123,DeWitt,02,11/05/2025,11/03/2025,,,,15H,,14000,01,Drill,Y,N,N,,,"HARWOOD, J",213,29.2363774,-97.3839256,29.222287,-97.374293,1,27135750,0,1,2,16,
0911549,HANSEN A,"DEVON ENERGY PRODUCTION CO, L.P.",216378,123,DeWitt,02,11/05/2025,11/03/2025,,,,16H,,14000,01,Drill,Y,N,N,,,"HARWOOD, J",213,29.2363963,-97.3840809,29.222496,-97.376862,1,27135750,0,1,2,16,
0911551,MUIR D,"DEVON ENERGY PRODUCTION CO, L.P.",216378,123,DeWitt,02,11/07/2025,11/03/2025,,,,16H,,14000,01,Drill,Y,N,N,,,J. HARWOOD,213,29.2363588,-97.3837703,29.222209,-97.372804,1,27135750,0,1,2,16,
