permit_number,lease_name,operator_name,operator_number,county_code,county_name,district,issue_date,received_date,amended_date,extended_date,spud_date,well_number,well_status,total_depth,application_type,app_type_desc,horizontal_flag,directional_flag,sidetrack_flag,surface_section,surface_block,surface_survey,surface_abstract,gis_surface_lat,gis_surface_lon,gis_bottomhole_lat,gis_bottomhole_lon,field_count,field_numbers,lease_count,survey_count,restriction_count,remark_count,address
0911421,"CANNON, T.P.",BUFFCO PRODUCTION INC.,106406,401,Rusk,06,11/04/2025,10/28/2025,,,,1,,10908,14,,N,N,N,,,"GAMMAGE, T T",349,32.1872782,-94.7803431,32.1872782,-94.7803431,1,78155500,1,0,2,4,
0911638,TEA OLIVE,AETHON ENERGY OPERATING LLC,008555,403,Sabine,06,11/07/2025,11/06/2025,,,,1,,8000,01,Drill,N,N,N,,,"MOTT, J",43,31.399623,-93.923017,31.399623,-93.923017,1,00012001,0,0,2,4,
0910153,SUPER SNAKE C,SILVER HILL ENERGY OPERATING LLC,781863,419,Shelby,06,09/16/2025,10/07/2025,11/07/2025,,,12H,,12500,01,Drill,Y,N,N,,,"HAILEY, A",271,31.7188426,-94.0735778,31.7521307,-94.0722253,1,16032300,1,1,1,16,
0910154,SUPER SNAKE D,SILVER HILL ENERGY OPERATING LLC,781863,419,Shelby,06,09/16/2025,10/07/2025,11/07/2025,,,13H,,12500,01,Drill,Y,N,N,,,"HAILEY, A",271,31.7185922,-94.072719,31.7521307,-94.0722253,1,16032300,1,1,1,16,
0911586,BRIT CLARE 'A',"BASIN OIL & GAS OPERATING, LLC",054430,445,Terry,11,11/06/2025,11/04/2025,,,,16,,8700,01,Drill,N,N,N,2      D,14,"C&M RR CO / JONES, B",869,33.2718107,-102.5643059,33.2718107,-102.5643059,1,87254240,0,0,2,4,
0911622,BRIT CLARE 'A',"BASIN OIL & GAS OPERATING, LLC",054430,445,Terry,11,11/07/2025,11/05/2025,,,,18,,8700,01,Drill,N,N,N,2      D,14,"C&M RR CO / JONES, B",869,33.272521,-102.5670239,33.272521,-102.5670239,1,87254240,0,0,2,4,
0894150,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,09/29/2023,10/31/2025,11/04/2025,,12/22/2023,106MH,,8171,01,Drill,Y,N,N,4,1 T5S,T&P RR CO,486,31.5945508,-102.1345373,31.6210967,-102.1449834,1,70279100,1,1,1,16,
0894151,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,09/29/2023,10/31/2025,11/05/2025,,12/18/2023,107MH,,12000,01,Drill,Y,N,N,4,1 T5S,T&P RR CO,486,31.5946867,-102.1344486,31.6216449,-102.1427317,1,70279100,1,1,1,16,
0894152,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,09/29/2023,11/03/2025,11/06/2025,,12/17/2023,108MH,,8161,01,Drill,Y,N,N,4,1 T5S,T&P RR CO,486,31.5947169,-102.1343251,31.6221754,-102.1404749,1,70279100,1,1,1,16,
0894153,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,10/04/2023,11/03/2025,11/07/2025,,12/10/2023,601MH,,8175,01,Drill,Y,N,N,4,0 T5S,T&P RR CO,455,31.5942877,-102.1264755,31.6229117,-102.1374362,1,70279100,1,1,1,16,
0894154,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,09/29/2023,11/03/2025,11/06/2025,,12/07/2023,602MH,,8164,01,Drill,Y,N,N,4,0 T5S,T&P RR CO,455,31.5942121,-102.1263168,31.6234998,-102.1350243,1,70279100,1,1,1,16,
0894175,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,09/29/2023,11/03/2025,11/05/2025,,10/30/2023,603MH,,8160,01,Drill,Y,N,N,4,0 T5S,T&P RR CO,455,31.5953229,-102.1222315,31.6240876,-102.1326724,1,70279100,1,1,1,16,
0894176,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,09/29/2023,10/31/2025,11/04/2025,,11/02/2023,604MH,,8178,01,Drill,Y,N,N,4,0 T5S,T&P RR CO,455,31.5953831,-102.1219844,31.6246844,-102.1302363,1,70279100,1,1,1,16,
0894178,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,09/29/2023,11/03/2025,11/05/2025,,11/30/2023,606MH,,8166,01,Drill,Y,N,N,4,0 T5S,T&P RR CO,455,31.5965996,-102.1169963,31.6252917,-102.1278511,1,70279100,1,1,1,16,
0894179,PEGASUS SPRABERRY UNIT,COG OPERATING LLC,166150,461,Upton,09,10/04/2023,11/03/2025,11/06/2025,,11/30/2023,607MH,,8191,01,Drill,Y,N,N,4,0 T5S,T&P RR CO,455,31.5966599,-102.1167492,31.6258037,-102.1255742,1,70279100,1,1,1,16,
0911494,XBC GIDDINGS ESTATE,"PIONEER NATURAL RES. USA, INC.",665748,461,Upton,09,11/03/2025,10/30/2025,,,,4201H,,10478,01,Drill,Y,N,N,1,,GC&SF RR CO,221,31.4524508,-101.9430294,31.4889379,-101.9591134,1,85279200,0,1,1,20,
0911495,XBC GIDDINGS ESTATE,"PIONEER NATURAL RES. USA, INC.",665748,461,Upton,09,11/03/2025,10/30/2025,,,,4202H,,10478,01,Drill,Y,N,N,1,,GC&SF RR CO,221,31.4524746,-101.9429273,31.4892197,-101.9579061,1,85279200,0,1,1,20,
0911496,XBC GIDDINGS ESTATE,"PIONEER NATURAL RES. USA, INC.",665748,461,Upton,09,11/03/2025,10/30/2025,,,,4203H,,10478,01,Drill,Y,N,N,1,,GC&SF RR CO,221,31.4524985,-101.9428252,31.4895738,-101.9563893,1,85279200,0,1,1,20,
0911497,XBC GIDDINGS ESTATE,"PIONEER NATURAL RES. USA, INC.",665748,461,Upton,09,11/03/2025,10/30/2025,,,,4204H,,10478,01,Drill,Y,N,N,1,,GC&SF RR CO,221,31.4525223,-101.942723,31.4898556,-101.9551822,1,85279200,0,1,1,20,
0911498,XBC GIDDINGS ESTATE,"PIONEER NATURAL RES. USA, INC.",665748,461,Upton,09,11/03/2025,10/30/2025,,,,4205H,,10464,01,Drill,Y,N,N,1,,GC&SF RR CO,221,31.454296,-101.9354184,31.4905246,-101.9523159,1,85279200,0,1,1,20,
0911499,XBC GIDDINGS ESTATE,"PIONEER NATURAL RES. USA, INC.",665748,461,Upton,09,11/03/2025,10/30/2025,,,,4206H,,10464,01,Drill,Y,N,N,1,,GC&SF RR CO,221,31.4543867,-101.9354172,31.4914783,-101.9482297,1,85279200,0,1,1,20,
0911500,XBC GIDDINGS ESTATE,"PIONEER NATURAL RES. USA, INC.",665748,461,Upton,09,11/03/2025,10/30/2025,,,,4207H,,10464,01,Drill,Y,N,N,1,,GC&SF RR CO,221,31.4544774,-101.935416,31.4924318,-101.9441435,1,85279200,0,1,1,20,
0911591,BRADEN SWD,"VELOCITY WATER SOLUTIONS, LP",884481,461,Upton,09,11/07/2025,11/04/2025,,,,1,,5215,01,Drill,N,N,N,7      3,7 T5S,T&P RR CO,389,31.6429504,-101.8056776,31.6429504,-101.8056776,1,85280300,0,0,2,4,1 CONGRESS AVE STE 500
0909709,SWAPS 146-37 A,"MANTI TARKA PERMIAN OP, LLC",524907,475,Ward,10,08/08/2025,10/07/2025,11/07/2025,,,1HA,,11500,01,Drill,Y,N,N,45     3,4,H&TC RR CO,250,31.515575,-103.253304,31.533339,-103.238873,1,71052900,1,1,2,31,
0909710,SWAPS 146-37 B,"MANTI TARKA PERMIAN OP, LLC",524907,475,Ward,10,08/08/2025,10/07/2025,11/07/2025,,,2HA,,11500,01,Drill,Y,N,N,45     3,4,H&TC RR CO,250,31.51553,-103.253243,31.529687,-103.237678,1,71052900,1,1,2,32,
0909711,SWAPS 146-37 C,"MANTI TARKA PERMIAN OP, LLC",524907,475,Ward,10,08/08/2025,10/07/2025,11/07/2025,,,3HA,,11500,01,Drill,Y,N,N,45     3,4,H&TC RR CO,250,31.515484,-103.253183,31.526112,-103.236405,1,71052900,1,1,2,32,
0909712,SWAPS 146-37 D,"MANTI TARKA PERMIAN OP, LLC",524907,475,Ward,10,08/08/2025,10/07/2025,11/07/2025,,,4HA,,11500,01,Drill,Y,N,N,45     3,4,H&TC RR CO,250,31.511403,-103.247752,31.523765,-103.23388,1,71052900,1,1,2,32,
0911552,G-B MINERALS,"EOG RESOURCES, INC.",253162,479,Webb,04,11/07/2025,11/03/2025,,,,106H,,14500,01,Drill,Y,N,N,402,,"GC&SF RR CO/WALKER, S W",2089,27.7840802,-99.3927833,27.7668194,-99.370705,1,39744250,0,1,2,16,
0911553,G-B MINERALS,"EOG RESOURCES, INC.",253162,479,Webb,04,11/07/2025,11/03/2025,,,,107H,,14600,01,Drill,Y,N,N,402,,"GC&SF RR CO/WALKER, S W",2089,27.7843694,-99.3929722,27.7670556,-99.3660778,1,39744250,0,1,1,16,
